Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Target,course_id
1,8,5,2,1,1,1,13,10,6,10,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Dropout,6
1,6,1,11,1,1,1,1,3,4,4,0,0,0,1,0,19,0,0,6,6,6,14,0,0,6,6,6,13.66666667,0,Graduate,5
1,1,5,5,1,1,1,22,27,10,10,0,0,0,1,0,19,0,0,6,0,0,0,0,0,6,0,0,0,0,Dropout,66
1,8,2,15,1,1,1,23,27,6,4,0,0,1,0,0,20,0,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,Graduate,344
2,12,1,3,0,1,1,22,28,10,10,0,0,1,0,0,45,0,0,6,9,5,12.33333333,0,0,6,6,6,13,0,Graduate,32
2,12,1,17,0,12,1,22,27,10,8,0,1,1,1,0,50,0,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,Graduate,402
1,1,1,12,1,1,1,13,28,8,11,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,Graduate,260
1,9,4,11,1,1,1,22,27,10,10,0,0,0,1,0,22,0,0,5,5,0,0,0,0,5,5,0,0,0,Dropout,232
1,1,3,10,1,1,15,1,1,10,10,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,Graduate,201
1,1,1,10,1,1,1,1,14,5,8,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,Dropout,202
1,1,1,14,1,1,1,23,14,6,8,0,0,1,0,0,18,0,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,Graduate,317
1,1,1,12,1,1,1,13,28,10,10,0,0,1,0,1,18,0,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,Graduate,260
1,1,2,16,1,1,1,13,27,5,10,0,0,1,0,0,19,0,0,6,6,0,0,0,0,6,0,0,0,0,Dropout,372
1,17,1,11,1,16,1,1,1,5,8,0,0,1,0,1,21,0,0,6,7,6,10.57142857,0,0,6,8,5,11,0,Graduate,233
1,1,1,6,1,1,1,23,27,6,6,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12,0,Graduate,93
1,1,1,15,1,1,1,13,27,10,4,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0,0,Dropout,345
1,9,1,10,1,1,1,13,28,6,9,0,0,1,0,0,18,0,0,6,10,1,12,0,0,6,14,2,11,0,Enrolled,203
1,8,2,12,1,1,1,13,1,6,5,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,Graduate,261
