Student_ID,course_id,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Debtor,Tuition fees up to date,Scholarship holder,Target
1,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dropout
2,5,19,0,6,6,6,14,0,0,6,6,6,13.66666667,0,0,0,0,Graduate
3,66,19,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,Dropout
4,344,20,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,0,1,0,Graduate
5,32,45,0,6,9,5,12.33333333,0,0,6,6,6,13,0,0,1,0,Graduate
6,402,50,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,1,1,0,Graduate
7,260,18,0,7,9,7,13.3,0,0,8,8,8,14.345,0,0,1,1,Graduate
8,232,22,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,Dropout
9,201,21,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,0,1,1,Graduate
10,202,18,0,6,9,5,11.4,0,0,6,14,2,13.5,0,1,0,0,Dropout
11,317,18,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,0,1,0,Graduate
12,260,18,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,0,1,1,Graduate
13,372,19,0,6,6,0,0,0,0,6,0,0,0,0,0,1,0,Dropout
14,233,21,0,6,7,6,10.57142857,0,0,6,8,5,11,0,0,1,1,Graduate
15,93,18,0,5,7,4,13.25,0,0,5,5,5,12,0,0,1,1,Graduate
16,345,20,0,6,6,5,13.2,0,0,6,7,0,0,0,0,1,0,Dropout
17,203,18,0,6,10,1,12,0,0,6,14,2,11,0,0,1,0,Enrolled
18,261,18,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,0,1,0,Graduate
19,153,20,0,5,8,4,12.5,1,0,5,8,4,12.25,2,0,1,0,Graduate
20,373,18,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,0,1,0,Enrolled
21,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Graduate
22,294,20,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,0,1,0,Enrolled
23,262,18,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,0,1,0,Graduate
24,318,19,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,0,1,1,Graduate
25,260,19,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,0,1,0,Graduate
26,202,18,0,6,8,5,11.6,0,0,6,12,4,11,0,1,1,1,Enrolled
27,204,21,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,0,1,0,Graduate
28,93,18,0,5,9,5,12.66666667,2,0,5,7,4,13,0,0,1,0,Enrolled
29,168,20,0,5,6,5,12,0,0,5,6,5,12.33333333,0,0,1,0,Graduate
30,261,19,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,0,1,0,Enrolled
31,53,21,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,0,1,0,Enrolled
32,67,20,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,0,1,0,Graduate
33,168,18,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,0,0,0,Enrolled
34,33,19,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,0,1,0,Graduate
35,403,34,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,0,1,0,Graduate
36,1,37,0,7,7,0,0,0,0,7,7,1,10,0,1,0,0,Dropout
37,126,43,0,5,0,0,0,0,0,5,0,0,0,0,0,1,0,Dropout
38,169,55,0,5,10,1,10,0,0,5,8,2,12,2,0,1,0,Dropout
39,402,39,0,5,8,5,11,0,0,5,5,5,11.6,0,0,1,0,Graduate
40,154,20,2,6,13,3,11.66666667,0,1,6,11,3,12,0,1,0,0,Dropout
41,346,18,0,6,6,4,12.75,0,0,5,5,0,0,0,1,1,0,Dropout
42,170,22,0,5,5,5,14.8,0,0,5,5,5,15.8,0,0,1,0,Graduate
43,263,22,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,0,1,0,Graduate
44,347,20,0,6,7,4,13,0,0,6,7,5,13.8,0,0,0,0,Dropout
45,402,29,0,5,0,0,0,0,0,5,0,0,0,0,0,1,0,Dropout
46,404,24,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,0,1,0,Enrolled
47,204,18,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,0,1,0,Graduate
48,264,22,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,0,1,1,Graduate
49,34,21,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,0,1,1,Graduate
50,202,19,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,0,1,1,Graduate
51,234,24,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,0,1,1,Graduate
52,260,19,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,0,1,1,Enrolled
53,345,20,0,6,11,4,14,0,0,6,12,3,11,0,0,1,1,Enrolled
54,155,19,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,0,1,0,Graduate
55,402,27,0,5,12,5,10.6,0,0,5,10,5,11,0,0,1,0,Dropout
56,260,18,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,0,1,0,Graduate
57,2,39,0,6,10,0,0,0,0,6,6,0,0,0,0,1,0,Dropout
58,156,27,0,6,9,5,13,0,5,11,13,10,12.9,0,0,1,0,Dropout
59,265,18,0,8,8,8,14.935,0,0,8,8,8,14.935,0,0,1,0,Graduate
60,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Enrolled
61,266,18,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,0,1,0,Graduate
62,205,21,3,6,7,6,12,0,2,6,7,6,12,0,0,1,1,Graduate
63,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Enrolled
64,68,19,0,6,6,5,11.4,0,0,6,8,1,10,0,0,1,0,Enrolled
65,69,24,0,6,6,0,0,0,0,6,6,0,0,0,0,1,0,Enrolled
66,267,29,2,7,10,5,11.9,0,1,8,10,5,11,0,0,1,0,Dropout
